State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Percent,Absolute
Alabama,37.3,35,37.8,41.9,40.4,38.7,39.9,42.1,38.2,42.7,44.7,44.7,35.7,39.2,40.8,49.5,49.7,48.3,46.5,51.1,51.4,55.4,58.2,64,59.9,65.6,70.8,69,71.1,72.4,77.4,74.5,78.2,79.1,78.5,82.3,84.4,86.7,81.8,67,77.4,74.6,67,64.7,65.5,62.4,55.6,51,53.9,48.5,42.7,14.30%,5.3
Alaska,1,1.2,1.3,1.4,1.6,1.8,2,2.1,2.1,2.3,2.3,2.4,2.6,2.6,2.6,2.7,2.7,2.4,2.4,2.6,2.6,2.5,2.3,2.3,2.3,2.4,2.5,2.7,2.9,3,3.2,3.3,3.3,3,3.2,3.2,3.5,3.3,3.3,3.2,3,3.2,3.1,2.6,2.9,3,2.8,2.8,2.7,2.7,2.7,169.90%,1.7
Arizona,4.1,4.9,5.7,7.6,10.8,12.9,16.9,21,20,25.2,25.6,31.5,31,26.6,29.2,31.3,25.5,27.3,29.7,35.2,32.8,33.1,35.7,36.9,38.3,32.6,32.6,35.3,37.8,40.1,45.1,46.3,45.4,46.6,52.2,51.3,53.2,55.6,58.1,52.9,54.9,52.8,51.8,55.2,53.5,50,44.6,43.8,46.8,43.5,35.6,762.40%,31.5
Arkansas,6.1,5.9,6.1,6,5.3,3.8,4.9,7,8.4,7.6,7.6,12.3,13.1,17.9,16.1,20.8,22.2,21.2,21.6,20.5,21.5,21.5,21.9,19.5,21.7,23.6,25.8,24.2,25.9,27,26.6,27.2,25.8,26.6,27.4,25.6,27.6,28.8,29.3,29.1,32.6,34.5,34.9,35.9,35.8,27.3,30.5,32.1,37,31.2,22.6,272.90%,16.5
California,45.8,47.5,53.8,61.6,47.2,52.5,62.4,79.2,64.1,72.1,59.2,58.3,37.4,31.1,34.1,39.4,27.3,37.1,36.3,43.9,40.2,38,45.5,41.9,49.4,37.1,32.8,35.8,39.3,43.3,52.9,57.8,43.7,42.7,46.4,41.9,46.5,50,50.9,47.9,43.5,36.4,48,45.7,46.2,44.1,36.5,32.9,33.6,31.1,33.6,-26.50%,-12.1
Colorado,9.3,9.7,10.3,11.9,12.6,14.2,16.3,19.1,19,20.6,21.1,23.3,24,22.9,25.6,26.8,26.6,27,28.5,30.1,31.2,30.6,31.6,32,33.4,32.5,34.1,34.3,35.7,35.9,39.5,41.8,40.6,40.8,40.8,41.1,42,43.4,41.5,38.8,40.3,39.3,39.5,39,38.1,37,35.6,35.2,34.2,33.5,28.6,205.80%,19.2
Connecticut,14.3,13.7,13.8,14.3,12.9,10.5,9.4,8.9,9.3,8.6,10.2,8.6,8.2,9.3,9.9,10.1,10.6,9.8,10.9,11.6,11,10.6,8.6,7.4,7.3,8.1,9.1,12.2,11.1,9.9,10.6,9.5,8.6,7.9,8.7,9.9,9.5,8.8,8,6.6,7.7,6.6,7.2,6.8,6.7,7.4,7,6.3,8,7.9,8.7,-39.60%,-5.7
Delaware,5.3,5.1,4.8,5.2,6,5.3,5.5,5.6,6,5.9,5.7,7.4,6.3,8.8,8.6,8.2,8,8,8.4,7.8,7.6,7.8,6.8,7.6,7.2,6.7,6.6,5.7,5.5,5.1,5.3,5.2,5.1,5.9,6,6.4,5.8,6.7,6.3,3.9,4.3,3.8,4.6,4.1,3.6,3.3,3.6,2.9,2.6,1.8,1.8,-65.80%,-3.5
District of Columbia,3.4,2.4,2.8,3.3,2.5,1.3,1.3,1.8,1.8,1.1,0.7,0.4,0.1,0.3,0.3,0.1,0.2,0.3,0.5,0.7,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0,0.2,0.2,0,0,0,0,0,0,0,0,0,-100.00%,-3.4
Florida,42,46.8,52.9,56.8,53.6,54.6,57.7,55.3,60.9,62.7,63.2,66.7,57.5,61.9,58.3,62.5,71.6,78.6,83,88.1,86.6,92.8,90.8,94.7,96.4,98.7,103.5,107.4,118.3,114.9,117.4,118.2,121,125.8,126.1,126.6,123.5,124.7,117.4,110.8,120,111,107.5,105.1,109.7,108,106.2,103.2,100.7,94.3,92.3,119.60%,50.3
Georgia,20.9,24.2,28.2,29.6,32.1,33.2,36.1,42.3,43.2,44.7,48.7,50.4,48.6,52.5,61.1,65.4,62.1,63,61.7,58.7,62.8,56.4,54.2,58.4,60.6,64.8,64.6,69.2,70.7,72.2,76.2,70.8,75.8,76,78.1,86.1,86.7,92.3,86.4,74.4,79.9,68.5,56.2,54,59.9,56.1,57.9,52.4,52.3,48.6,37.3,78.50%,16.4
Hawaii,3.2,3.6,4,4.1,4.3,4.4,4.6,4.9,5,5.1,5.2,5.2,5,5.1,5.2,5.2,5.4,5.7,6.1,6.4,7.3,6,7,7,7.2,7.5,7.8,7.7,7.6,7.7,7.8,7.8,8.4,7.7,8,7.9,7.9,7.8,7.6,7.5,7.4,7.2,6.9,6.6,6.5,6.4,6.4,6.3,6.3,6.3,5.9,83.20%,2.7
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.6,0.1,0.5,0.6,0.6,0.5,0.7,0.7,0.7,0.7,0.4,0.7,1.3,1,1.5,1.3,1.1,1.3,1.7,1.6,554850.50%,1.6
Illinois,67.8,67.4,68,71.6,70.8,69.1,71.7,73.3,74.4,76.3,75.2,69.6,66.7,71.4,67.2,64.8,64.3,60.7,55.5,54.4,57.7,58.8,53.5,64.3,66.7,67.4,75.1,80.1,79.1,80.1,86.5,86.6,89.2,89.4,95.2,94.5,92.8,97.8,97.8,91.4,95.1,92.3,86.3,90,88.8,77.4,67.2,65.2,67.1,58.2,42.6,-37.20%,-25.2
Indiana,49.4,49.5,51.4,56.8,54.1,56.5,60,62.1,60.7,65.8,69.7,66.9,63.7,70.1,79,77.9,76.1,76.9,83.1,87.5,96.9,96.9,95.2,98.3,101.6,103.3,104.9,109.6,112,115.1,121.7,116.6,116.1,118.1,120.7,123.8,123.5,123.5,123.9,110.3,115.6,109.9,99.9,99.5,104.4,88.3,84.5,81,90.2,75.8,63.1,27.80%,13.7
Iowa,12.3,12.6,14,14.2,12.7,12.4,14.7,15.6,16.8,17.6,19.5,20.8,20.1,21,20.6,21.8,21.2,22.9,24.7,24.9,26.5,27.4,26.4,28,28.1,30,29.9,30.5,34.5,34.5,36.4,36.4,36.2,36.4,36.9,36.1,36.3,39.6,41.4,37.5,41.1,37.7,34.8,32.6,32.9,28.8,25.1,25.9,29.5,23.9,16.2,31.50%,3.9
Kansas,9.9,10.3,10.9,11.9,13.1,15,15.6,17,21,20.7,23.1,23.8,22.8,24,27.3,25.1,24.3,25.8,26.3,26.2,27,27.2,24.5,29.6,29.7,28.7,33,30.7,31.3,33.3,36.4,35.2,38.6,38.4,37.7,37.5,35.5,38.9,36.7,35.7,35.8,34.6,31,32.3,31,26.7,25.1,21.7,23.1,20.3,19.8,99.60%,9.9
Kentucky,39.4,42.8,46.6,46.7,47.6,45.8,52.4,51.9,51.5,49.8,53.3,56.7,53.2,53.1,54.6,58.8,62.7,62.6,69.9,64,67.9,69.1,70.2,78.3,76.7,79.2,81.5,84.5,84.8,87.5,89.2,90.3,90,88.3,90.1,93.3,96.1,95.3,96,88,95.1,94.6,87.4,87,87.4,77.6,73.4,64.1,67.1,59.5,50.5,28.20%,11.1
Louisiana,18.2,19.9,22.1,24.1,23.5,22.7,26.8,30.1,32.4,29.1,27.3,26.7,26.8,26.3,27.3,30,30.9,29.3,33.3,33.2,34.4,34.4,35.8,37.5,38.8,39.7,35.4,39.2,41.5,41.4,42.9,39.5,41.7,39.3,41.2,43.1,38.1,38.3,40.1,38,42.7,46.5,43.2,41,39.5,39.4,36.2,33.5,33.9,30.7,27.5,51.60%,9.4
Maine,2.3,2.4,2.7,2.4,1.9,1.3,0.9,0.6,0.8,1.1,1.7,1.8,1.5,1.7,1.7,1.6,2.1,2.1,2.3,2.5,2.1,1.7,1.6,1.3,1.2,1.2,1.1,1.7,1.9,3.3,3.5,5.7,5.9,4.8,4.5,3.8,2.7,2.6,2.5,2.4,2.6,2.1,1.7,1.4,1.7,1.6,1.5,1,1.1,0.7,0.7,-69.40%,-1.6
